pid|parent_pid|cpu_use_percent|mem_use_percent|mem_use_bytes|name|command|read_bytes_per_sec|write_bytes_per_sec|total_read_bytes|total_write_bytes|process_state|process_state_char|uid
15695|1|0|0.12130476664286556|42680320|com.apple.WebKit.WebContent|/System/Library/Frameworks/WebKit.framework/Versions/A/XPCServices/com.apple.WebKit.WebContent.xpc/Contents/MacOS/com.apple.WebKit.WebContent|0|0|0|0|Runnable|R|501
244|0|0|0|0|colorsyncd|colorsyncd|0|0|0|0|Unknown|?|0
648|1|0|0.0740517870072234|26054656|deleted|/System/Library/PrivateFrameworks/CacheDelete.framework/deleted|0|0|30703616|335872|Runnable|R|501
1044|1|0|0.008009374227475193|2818048|com.apple.DictionaryServiceHelper|/System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/DictionaryServices.framework/Versions/A/XPCServices/com.apple.DictionaryServiceHelper.xpc/Contents/MacOS/com.apple.DictionaryServiceHelper|0|0|61440|0|Runnable|R|501
26007|1|0|0.5107256638569246|179695616|ExternalQuickLookSatellite-x86_64|/System/Library/Frameworks/QuickLook.framework/Versions/A/XPCServices/ExternalQuickLookSatellite-x86_64.xpc/Contents/MacOS/ExternalQuickLookSatellite-x86_64|0|0|20914176|0|Runnable|R|501
18701|1|0|0.015209661959587702|5351424|MTLCompilerService|/System/Library/Frameworks/Metal.framework/Versions/A/XPCServices/MTLCompilerService.xpc/Contents/MacOS/MTLCompilerService|0|0|16384|0|Runnable|R|501
703|1|0|0.023603206753206325|8304640|findmydevice-user-agent|/usr/libexec/findmydevice-user-agent|0|0|86016|0|Runnable|R|501
369|0|0|0|0|cfprefsd|cfprefsd|0|0|0|0|Unknown|?|0
987|1|0|0.016164267608792592|5687296|com.apple.audio.SandboxHelper|/System/Library/Frameworks/AudioToolbox.framework/XPCServices/com.apple.audio.SandboxHelper.xpc/Contents/MacOS/com.apple.audio.SandboxHelper|0|0|0|0|Runnable|R|501
385|0|0|0|0|securityd_service|securityd_service|0|0|0|0|Unknown|?|0
549|1|0|0.046443893140279476|16340992|BlockerCustomExtension|/Applications/AdGuard for Safari.app/Contents/PlugIns/BlockerCustomExtension.appex/Contents/MacOS/BlockerCustomExtension -AppleLanguages ("en-US")|0|0|12288|0|Runnable|R|501
424|1|0|0.03156601485145201|11106304|backgroundtaskmanagementagent|/System/Library/CoreServices/backgroundtaskmanagementagent|0|0|278528|12288|Runnable|R|501
444|1|0|0.06456102779363451|22715392|pkd|/usr/libexec/pkd|0|0|12431360|114688|Runnable|R|501
28394|0|0|0|0|microstackshot|microstackshot|0|0|0|0|Unknown|?|0
515|1|0|0.1471024022360124|51757056|IMDPersistenceAgent|/System/Library/PrivateFrameworks/IMDPersistence.framework/XPCServices/IMDPersistenceAgent.xpc/Contents/MacOS/IMDPersistenceAgent|0|0|6410240|4493312|Runnable|R|501
14897|1|0|0.04153116650656649|14612480|com.apple.CloudDocs.MobileDocumentsFileProvider|/System/Library/PrivateFrameworks/CloudDocs.framework/PlugIns/com.apple.CloudDocs.MobileDocumentsFileProvider.appex/Contents/MacOS/com.apple.CloudDocs.MobileDocumentsFileProvider -AppleLanguages ("en-US")|0|0|188416|0|Runnable|R|501
28881|1|0|0.03170862362221737|11156480|com.apple.AnnotationKit.MigratorService|/System/Library/PrivateFrameworks/AnnotationKit.framework/Versions/A/XPCServices/com.apple.AnnotationKit.MigratorService.xpc/Contents/MacOS/com.apple.AnnotationKit.MigratorService|0|0|90112|0|Runnable|R|501
27769|1|0|0.08754723333454988|30802944|heard|/System/Library/PrivateFrameworks/HearingCore.framework/heard|0|0|46149632|0|Runnable|R|501
36475|36466|0|7.088517380429385|2494050304|rust-analyzer|/Users/fdncred/.vscode/extensions/matklad.rust-analyzer-0.3.884/server/rust-analyzer|0|0|30973952|0|Runnable|R|501
